head_kind,hidden_size,seed,train_accuracy,eval_accuracy,steps,fold,train_size,eval_size
linear,0,2,0.9750000238418579,0.21250000596046448,2500,0,320,80
linear,0,2,0.9624999761581421,0.16249999403953552,2500,1,320,80
linear,0,2,0.9750000238418579,0.125,2500,2,320,80
linear,0,2,0.971875011920929,0.16249999403953552,2500,3,320,80
linear,0,2,0.956250011920929,0.11249999701976776,2500,4,320,80
linear,0,4,0.981249988079071,0.15000000596046448,2500,0,320,80
linear,0,4,0.981249988079071,0.07500000298023224,2500,1,320,80
linear,0,4,0.9937499761581421,0.11249999701976776,2500,2,320,80
linear,0,4,0.965624988079071,0.15000000596046448,2500,3,320,80
linear,0,4,0.9593750238418579,0.13750000298023224,2500,4,320,80
linear,0,5,0.965624988079071,0.17499999701976776,2500,0,320,80
linear,0,5,0.9624999761581421,0.11249999701976776,2500,1,320,80
linear,0,5,0.956250011920929,0.15000000596046448,2500,2,320,80
linear,0,5,0.953125,0.16249999403953552,2500,3,320,80
linear,0,5,0.9750000238418579,0.03750000149011612,2500,4,320,80
mlp,64,2,1.0,0.16249999403953552,3500,0,320,80
mlp,64,2,1.0,0.13750000298023224,3500,1,320,80
mlp,64,2,1.0,0.21250000596046448,3500,2,320,80
mlp,64,2,1.0,0.15000000596046448,3500,3,320,80
mlp,64,2,1.0,0.08749999850988388,3500,4,320,80
mlp,64,4,1.0,0.21250000596046448,3500,0,320,80
mlp,64,4,1.0,0.13750000298023224,3500,1,320,80
mlp,64,4,1.0,0.17499999701976776,3500,2,320,80
mlp,64,4,1.0,0.0625,3500,3,320,80
mlp,64,4,1.0,0.15000000596046448,3500,4,320,80
mlp,64,5,1.0,0.08749999850988388,3500,0,320,80
mlp,64,5,1.0,0.125,3500,1,320,80
mlp,64,5,1.0,0.07500000298023224,3500,2,320,80
mlp,64,5,1.0,0.22499999403953552,3500,3,320,80
mlp,64,5,1.0,0.10000000149011612,3500,4,320,80
mlp,128,2,1.0,0.16249999403953552,3500,0,320,80
mlp,128,2,1.0,0.11249999701976776,3500,1,320,80
mlp,128,2,1.0,0.13750000298023224,3500,2,320,80
mlp,128,2,1.0,0.20000000298023224,3500,3,320,80
mlp,128,2,1.0,0.10000000149011612,3500,4,320,80
mlp,128,4,1.0,0.21250000596046448,3500,0,320,80
mlp,128,4,1.0,0.125,3500,1,320,80
mlp,128,4,1.0,0.13750000298023224,3500,2,320,80
mlp,128,4,1.0,0.1875,3500,3,320,80
mlp,128,4,1.0,0.13750000298023224,3500,4,320,80
mlp,128,5,1.0,0.20000000298023224,3500,0,320,80
mlp,128,5,1.0,0.17499999701976776,3500,1,320,80
mlp,128,5,1.0,0.03750000149011612,3500,2,320,80
mlp,128,5,1.0,0.15000000596046448,3500,3,320,80
mlp,128,5,1.0,0.11249999701976776,3500,4,320,80
